#EVENT 2022-08-17 07:00 - 2022-09-30 21:00 (calib 2022-09-06 14:00 - 2022-09-30 21:00)
#time	theta
1753200	0.1574
1756800	0.1545165
1760400	0.1644165
1764000	0.1663
1767600	0.1662165
1771200	0.1655835
1774800	0.1661665
1778400	0.1647
1782000	0.1645335
1785600	0.165
1789200	0.1638
1792800	0.1635
1796400	0.164
1800000	0.1645
1803600	0.16365
1807200	0.16235
1810800	0.163
1814400	0.163
1818000	0.1630335
1821600	0.163133
1825200	0.163
1828800	0.16275
1832400	0.161117
1836000	0.1596665
1839600	0.1616
1843200	0.1616665
1846800	0.159133
1850400	0.1603335
1854000	0.1610665
1857600	0.1610335
1861200	0.161
1864800	0.1614335
1868400	0.1626335
1872000	0.161433
1875600	0.159817
1879200	0.1591
1882800	0.1584
1886400	0.158
1890000	0.158
1893600	0.1584
1897200	0.1587835
1900800	0.158967
1904400	0.159
1908000	0.159
1911600	0.1590665
1915200	0.15875
1918800	0.1588835
1922400	0.1596
1926000	0.1594665
1929600	0.1581335
1933200	0.1582335
1936800	0.1582
1940400	0.1582335
1944000	0.158333
1947600	0.1580665
1951200	0.1581335
1954800	0.158867
1958400	0.159
1962000	0.1592835
1965600	0.16
1969200	0.1599
1972800	0.159683
1976400	0.1600665
1980000	0.1596
1983600	0.15805
1987200	0.156767
1990800	0.1564835
1994400	0.1566165
1998000	0.1576
2001600	0.15885
2005200	0.1586665
2008800	0.1573335
2012400	0.1569335
2016000	0.157517
2019600	0.1579665
2023200	0.15795
2026800	0.157783
2030400	0.1579335
2034000	0.158
2037600	0.1579335
2041200	0.1579335
2044800	0.157983
2048400	0.1582
2052000	0.158067
2055600	0.157
2059200	0.1553
2062800	0.1552665
2066400	0.1557335
2070000	0.1556
2073600	0.1554
2077200	0.15455
2080800	0.15455
2084400	0.15535
2088000	0.156367
2091600	0.157217
2095200	0.154567
2098800	0.154
2102400	0.1540335
2106000	0.154767
2109600	0.154983
2113200	0.1546335
2116800	0.1540335
2120400	0.153533
2124000	0.1529665
2127600	0.152433
2131200	0.153
2134800	0.153
2138400	0.153
2142000	0.1530665
2145600	0.1531835
2149200	0.1534
2152800	0.1537335
2156400	0.1539335
2160000	0.154
2163600	0.154
2167200	0.1538
2170800	0.152233
2174400	0.15215
2178000	0.1527165
2181600	0.152067
2185200	0.1517335
2188800	0.1497
2192400	0.1516165
2196000	0.1509
2199600	0.15085
2203200	0.151
2206800	0.1504335
2210400	0.150333
2214000	0.151667
2217600	0.1514335
2221200	0.1501835
2224800	0.1489335
2228400	0.14805
2232000	0.1473665
2235600	0.1473165
2239200	0.147817
2242800	0.148
2246400	0.148
2250000	0.148
2253600	0.148
2257200	0.148567
2260800	0.1471
2264400	0.1478
2268000	0.146
2271600	0.146
2275200	0.14655
2278800	0.1459335
2282400	0.146
2286000	0.146
2289600	0.146
2293200	0.146
2296800	0.1460335
2300400	0.14675
2304000	0.147
2307600	0.146517
2311200	0.1454665
2314800	0.1437
2318400	0.1426335
2322000	0.143567
2325600	0.144
2329200	0.1433665
2332800	0.1432
2336400	0.142867
2340000	0.143467
2343600	0.14365
2347200	0.14265
2350800	0.1429
2354400	0.1431
2358000	0.1423335
2361600	0.1424
2365200	0.143
2368800	0.143
2372400	0.1428
2376000	0.1429335
2379600	0.1422665
2383200	0.1412665
2386800	0.1408335
2390400	0.1409665
2394000	0.141
2397600	0.1410165
2401200	0.1411165
2404800	0.1412
2408400	0.1414
2412000	0.1414335
2415600	0.14145
2419200	0.1413165
2422800	0.1412335
2426400	0.1410165
2430000	0.1413335
2433600	0.1428
2437200	0.1430665
2440800	0.143
2444400	0.1429835
2448000	0.1423
2451600	0.142
2455200	0.142
2458800	0.1420665
2462400	0.1422335
